Longitude	Latitude	Name	Cruise	Year	Month	Day	Depth_m	Temperature_degreesC	Salinity_psu	Oxygen_mll	Hydrogen_Sulphide_umoll	Ammonium_Nitrogen_umoll
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	101.029945	5.8192	10.8877	0.32		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	101.52506	5.8221	10.8957	0.33		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	102.02019	5.8354	10.9196	0.34		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	102.515305	5.8266	10.8997	0.33		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	103.01042	5.8316	10.9181	0.33		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	103.50554	5.8578	10.9567	0.33		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	104.000656	5.866	10.9736	0.33		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	104.49577	5.8781	10.992	0.32		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	104.99088	5.8863	11.0083	0.3		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	105.48599	5.8971	11.0285	0.28		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	105.98111	5.8754	10.9859	0.29		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	106.47622	5.8901	11.0279	0.3		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	106.97132	5.9316	11.0878	0.31		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	107.46643	5.9375	11.0958	0.32		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	107.96154	5.9403	11.1016	0.32		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	108.45664	5.9456	11.112	0.31		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	108.951744	5.9509	11.1233	0.3		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	109.446846	5.9439	11.1088	0.29		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	109.94195	5.9481	11.1261	0.29		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	110.43705	5.968	11.1532	0.27		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	110.93215	5.9752	11.1669	0.26		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	111.427246	5.985	11.187	0.24		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	111.92235	5.9922	11.198	0.23		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	112.41744	5.9989	11.2091	0.22		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	112.91254	6.0031	11.216	0.22		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	113.40763	5.9884	11.1928	0.23		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	113.90272	6.0136	11.236	0.23		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	114.39781	6.0203	11.2475	0.24		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	114.8929	6.0241	11.2528	0.23		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	115.387985	6.0262	11.2553	0.23		
